post_url,writer_id,main_text,tag
https://www.instagram.com/p/CB7OjUqgFJR/,yun_ho_yang,"건대스타시티 돌아다니다가
좀 늦은시간 저녁식사하러
무한리필스시집~
스시오
sushi'o
늦게오셔서 종류 많이없다고 서비스 만들어주심♡

#건대맛집 #건대스시오 #스시오 #sushi #sushi🍣 #sushi'o #서비스최고 #저녁식사그램 #저녁메뉴 #무한리필스시","['건대맛집', '건대스시오', '스시오', 'sushi', 'sushi', 'sushi', '서비스최고', '저녁식사그램', '저녁메뉴', '무한리필스시']"
https://www.instagram.com/p/B7GkYd9ATMc/,kicar2015,"좋은 분들과 좋은 음식과 깊은 대화는
나를 즐겁게 한다
선배님 유익한 시간 만들어 주셔서
감사드립니다

#서울맛집 #건대 #스시오 #건대맛집 #스시뷔페 #건대역맛집 #건국대","['서울맛집', '건대', '스시오', '건대맛집', '스시뷔페', '건대역맛집', '건국대']"
https://www.instagram.com/p/B67ES9tptoZ/,belly2359,맛있🍣,[]
https://www.instagram.com/p/B65Oh7gFjqi/,daehan3420,"건대 온김에 스시오에서 저녁 뚝딱해결!
.
.
#건대맛집 #스시오건대 #건대스시오 #건대입구맛집 #건대스시 #건대초밥","['건대맛집', '스시오건대', '건대스시오', '건대입구맛집', '건대스시', '건대초밥']"
https://www.instagram.com/p/B6r9tLBhjh_/,ganghyiweon98,"2019.12.29
현서 없는 주일~~ㅋ
간만에 먹으러 간 🍣
예전엔 초밥 종류도 다양하고 괜찮았는데 오늘 왜이래😭
입맛만 버리고 왔다는😤

#기대하고갔건만
#나한테왜이래😭","['기대하고갔건만', '나한테왜이래']"
https://www.instagram.com/p/B5kcjBpl616/,choyoungmin_87,"회사동료들과 초밥집왔어요~~
#일상스타그램 #일상 #소통해요 #소통 #인친환영 #인친해요 #친스타그램#친구해요 #친구스타그램 #먹스타그램 #먹방일기 #맛있다그램 #맛스타그램 #직장인 #직장인스타그램#퇴근#건대#스시오#저녁메뉴 #초밥#팔로잉 #팔로우#팔로미#선팔환영 #선팔맞팔","['일상스타그램', '일상', '소통해요', '소통', '인친환영', '인친해요', '친스타그램', '친구해요', '친구스타그램', '먹스타그램', '먹방일기', '맛있다그램', '맛스타그램', '직장인', '직장인스타그램', '퇴근', '건대', '스시오', '저녁메뉴', '초밥', '팔로잉', '팔로우', '팔로미', '선팔환영', '선팔맞팔']"
https://www.instagram.com/p/B5dXivAAm0z/,hyeonseon_ss,"이렇게나 먹었다구?😅 세상에나,,
.
.
#선물받음 #하트우산 #빨간색조하❤️","['선물받음', '하트우산', '빨간색조하']"
https://www.instagram.com/p/B2MQY7-hC3H/,hyerin_1201,냠냠 😋,[]
https://www.instagram.com/p/BwOqV26lA0G/,berry_v218,"4/14
#오늘의점저메뉴 #점저메뉴 #건대맛집 #스시오 #건대스시오 #회전초밥 #초밥🍣 #냠냠😋 #밥이너무많아 #종류가다양하지못해아쉬움 #배부름 #일상 #일상스타그램 #먹스타그램 #소통 #좋아요 #잘먹었습니다🙏","['오늘의점저메뉴', '점저메뉴', '건대맛집', '스시오', '건대스시오', '회전초밥', '초밥', '냠냠', '밥이너무많아', '종류가다양하지못해아쉬움', '배부름', '일상', '일상스타그램', '먹스타그램', '소통', '좋아요', '잘먹었습니다']"
https://www.instagram.com/p/BvyZ2N-ATJM/,gaiem_kaiyin,,[]
https://www.instagram.com/p/BvUJRrol9yh/,daesung_92,여긴 이제 절대 안올래~~ㅜㅜ#건대 #스시오 #초밥 #스시 #일상 #소통 #데일리 #드라이브 #쇼핑 #daily #선팔 #맞팔 #먹방 #맛집 #아가리다이어터,"['건대', '스시오', '초밥', '스시', '일상', '소통', '데일리', '드라이브', '쇼핑', 'daily', '선팔', '맞팔', '먹방', '맛집', '아가리다이어터']"
https://www.instagram.com/p/Bu0lbszAJ8u/,zeusrear_yong,"#지지리도말안듣는 #딸내미가좋아하는 #건대스시오
#폭신강림 #30접시돌파 #데이트의꽃먹방","['지지리도말안듣는', '딸내미가좋아하는', '건대스시오', '폭신강림', '30접시돌파', '데이트의꽃먹방']"
https://www.instagram.com/p/Buk1RwGgSpU/,eejmee,🍣🍣🍣🍣,[]
https://www.instagram.com/p/BsUI8XnnCAk/,hye_yuuuuul,"🍣✨ .
.
.
.
.
#육율 #율먹 #건대","['육율', '율먹', '건대']"
https://www.instagram.com/p/BsPgjrcn2ik/,yoo_neeeee,"ㅋㅋㅋㅋㅋㅋ초밥찍었는데
옆에 하니나옴 귀엽😜",[]
https://www.instagram.com/p/Bqhdu9JDuyA/,ibrahim_kong,"2018.11.23 (금)
#건대 #세종대 #맛집 #스시오 #초밥무한리필 #세종대학교 #비누스대학교 #대한민국 #인도네시아 #교환학생
#KonkukUniversity #SejongUniversity #Sushi-O #SushiUnlimitedRefill #BinusUniversity #RepublicOfKorea #RepublikIndonesia #ExchangeStudent
#Sushi #KoreaSelatan #PelajarPenukaran
#جامعة_كونكوك #جامعة_سيجونغ #سوسي #جامعة_بينوس #كوريا #إندونيسيا #تبادل_طلابي","['건대', '세종대', '맛집', '스시오', '초밥무한리필', '세종대학교', '비누스대학교', '대한민국', '인도네시아', '교환학생', 'KonkukUniversity', 'SejongUniversity', 'Sushi', 'SushiUnlimitedRefill', 'BinusUniversity', 'RepublicOfKorea', 'RepublikIndonesia', 'ExchangeStudent', 'Sushi', 'KoreaSelatan', 'PelajarPenukaran']"
https://www.instagram.com/p/BpGgFUaH9Xc/,sherry_xuelier,教授请吃🍣啦～对面这位女士 请放下你的爪子 再拿我就要被你撑死啦！还偷笑！#건대맛집 #스시오,"['건대맛집', '스시오']"
https://www.instagram.com/p/Bo4Vgi7HAwr/,oneweek_413,행복 很久很久没吃寿司啦#스시오,['스시오']
https://www.instagram.com/p/BolAG_VHgbA/,xsummyx0320,"#회전초밥 #뷔페 #무한리필 #주말 #배터져 #스시오 #건대 #建国大学 #回转寿司 #任意吃
오늘 점심. . . 스시. . 배터지게 먹었어 ㅋ","['회전초밥', '뷔페', '무한리필', '주말', '배터져', '스시오', '건대']"
https://www.instagram.com/p/Bn_uIVsBR5F/,jh_didym,".
먹고 먹이자~

#건대맛집 #건대초밥 #맛집 #맛집탐방 #회전초밥 #초밥 #건대 #스시오 #스시오블랙컨테이너","['건대맛집', '건대초밥', '맛집', '맛집탐방', '회전초밥', '초밥', '건대', '스시오', '스시오블랙컨테이너']"
https://www.instagram.com/p/Bmwdzgol3VQ/,yukiesang,"배불리챱챱 .
.
.
.
.
.
.
.
#스시오건대점 #스시오 #스시부페 #초밥부페 #초밥뷔페 #스시뷔페 #건대역 맛집","['스시오건대점', '스시오', '스시부페', '초밥부페', '초밥뷔페', '스시뷔페', '건대역']"
