post_url,writer_id,main_text,tag
https://www.instagram.com/p/CWeoKp1Ph0j/,boongboong2_e,"#붕붕_성수 오랜만에 먹는 건강한 점심!
⠀
이직 후 클린한 점심은 꿈도 안꿨는데
오랜만에 나름 클린한 점심 \( ¨̮ )/
⠀
내 최애 #비건샐러드 랑 #삭슈카 그리고
#오믈렛 도 추가했어요! 완전 신의 한수!
몰랐는데 여기 오믈렛 맛집..😳
⠀
호텔 조식스타일 오믈렛에 사워크림? 같은
부드러운 소스가 너무 잘어울려요!
⠀
날씨가 추우니 따닥하게 삭슈카까지 싹싹 긁어 잘먹었던 한끼👍
⠀
ps. 여기 #오틀리라떼 양 엄청 많이주더라구요!
역시 오틀리 너무 맛있어..
⠀
☞ #칙피스 성수점
⠀","['붕붕', '비건샐러드', '삭슈카', '오믈렛', '오틀리라떼', '칙피스']"
https://www.instagram.com/p/Cbh4V1FrvQv/,yrkarkgo,"영롱해영롱해🥑
#ootd #칙피스 #성수동맛집 #샐러드","['ootd', '칙피스', '성수동맛집', '샐러드']"
https://www.instagram.com/p/CYiJgeWvCkX/,yam__zzi,"01.09 #얌찌외식 𝑺𝒖𝒏𝒅𝒂𝒚 𝑫𝒊𝒏𝒏𝒆𝒓
#건강맛집 #건강외식

성수 칙피스
@chickpeace.kr

▸ 치킨버거 7.5
▸ 램 샥슈카 12.0

──────────────

지중해식 샐러드 맛집 칙피스. 성수가면 칙피스에 너무 자주 가서 다른거 먹어볼까 고민해도 결국 먹던대로 발걸음이 칙피스로 향하네요. 저는 주로 샐러드 + 샥슈카 또는 버거 + 샥슈카 조합으로 주문하는데 어제는 칙피스버거가 너무 먹고싶어 인당 버거1개에 샥슈카 나눠먹기 (/^▽^)/

칙피스는 모든 메뉴에 #피타브레드 사용해요. 버거는 빵 1개의 반을 갈라 안을 채워서 제공되며 치킨버거 고기는 구운 닭다리살. #에그인헬 #샥슈카 토핑은 램, 치킨, 팔라펠 셋 중에 선택 가능해요. 식단 조절 중이라면 샐러드 또는 샥슈카 메뉴로 선택하시고, 만약 버거를 드시고 싶으시다면 지중해식 소스인 타히니소스가 꽤 많이 들어가기 때문에 소스를 조금만 넣어달라고 요청하시길 ⟡ (여기 버거 드시는 분들이 많이 없는데 버거 JMT 제가 엄청 좋아해요.)

사실 두달 전 쯤 방문했을 때는 조금 자극적으로 조리된 것 같아서 슬펐었는데, 어제는 여태 3년간 먹었던 칙피스 중에 가장 맛있었어요. 여태 먹었던 칙피스가 맞나 싶을정도로 역대급으로 푸짐하고 또 맛있었던...♡ 피타브레드가 평소보다 훨씬 퐁신퐁신 쫀득하고, 샥슈카도 평소보다 더 따뜻하고 양도 많았어요. 버거 속도 더 푸짐했습니다 (๑˃̵ᴗ˂̵)و ✧ 거의 2달에 한 번씩 방문하는 것 같은데, 갈 때마다 이렇게 나오면 진짜 한 달에 2번씩 방문하고 싶을 정도 !! 그리고 어제 저녁 칙피스는 그동안 본 것 중에 가장 손님이 바글바글했습니다. 인기 대폭발이었던 일요일 저녁의 칙피스 ♬

__________________________

어제는 헬스장 휴무일이라 오랜만에 운동도 쉬었고, 다 먹고 시간이 지나도 배가 많이 부르길래 집에 돌아오는 지하철 중간에 내려서 또 1시간 30분 걸어서 귀가했어요 ㅎㅎㅎ

어제 업로드하려다가 귀가가 늦어서 업로드를 못했는데 다들 주말 즐겁게 잘 보내셨나요 ! 저는 오늘부터 다시 또 열심히 식단을 올려보도록 하겠습니다 +_+ 피드업로드 이틀 쉬고 업로드하려니까 뭔가 어색하네요. 또 다시 평일 시작 ! 힘내서 월요일 보내봐요 ♡ 월요팅 ♡

⠀","['얌찌외식', '건강맛집', '건강외식', '피타브레드', '에그인헬', '샥슈카']"
https://www.instagram.com/p/CYgAOrzF1Qm/,sh_muksta___,"🥗서울 성동 칙피스🥗

성수동에 위치한 지중해식 샐러드집, 칙피스에 방문했다!!!
역시 유명한 곳이라 그런지 사람이 정말 많았다:-)

우리는 비건 샐러드, 치킨 라이스, 음료를 주문했다

키오스크로 주문하면 카톡으로 음식 준비완료를 알려주는 최첨단 시스템...!! 뭔가 신기했다ㅋㅋ

비건 샐러드🥗
팔라펠, 가지튀김, 컬리플라워, 당근 등 여러 가지 채소가 들어있다!!
엄청 건강하고 또 건강한 맛...ㅋㅋㅋㅋ
스리라차 소스 뿌려 먹으니까 맛도 있고 속도 든든해서 좋았다🥰

치킨 라이스🍗
팔라펠, 치킨, 각종 채소에 인도 쌀이 들엤다
힘없이 후두둑 떨어지는 밥이 처음에는 조금 불편하고 어색했지만
계속 손이 가는 묘한 맛이었다ㅋㅋㅋㅋ 치킨은 간이 슴슴하게 되어있었다
오히려 원하는 대로 케챱이나 스리라차 소스 찍어먹으면 되서 더 좋은듯!!👍

전체적으로 만족스러운 식사였다:)
엄청 건강하고 속도 편한 느낌이라 좋았다! 양도 정말 많아서 2명이서 한접시만 시켜도 배부르게 먹을 수 있을 듯 하다

특히 팔라펠!! 처음 먹어보는 음식이었는데 중동의 길거리 음식이라고 한다. 진짜 맛있었다! 콩으로 만든거라고 하는데 꼬마 돈까스 맛이 났다ㅋㅋㅋㅋ

건강하고 든든한 한끼를 먹을 수 있는 곳🥰

▪️비건 샐러드 10000원
▪️치킨 라이스 11000원

▪️서울 성동구 연무장5길 9-16 블루스톤타워 1층 101호
▪️매일 11:00 ~ 21:00",[]
https://www.instagram.com/p/CXz56mtvV-j/,diddpal,내 취향 샐러드집 또 발견🥗😍#팔라펠 완쟌 맛있다,['팔라펠']
https://www.instagram.com/p/CTmkm6wJDBc/,bae_jita,"날씨 좋은 날 일하고 먹는 아점 꿀맛이에요👍
밥 보다는 빵을 좋아해서 오늘도 샌드위치로
시작해서 저녁에도 스콘 먹었어요😃
외출시 #슬기로운효소 꼭 챙기기👍
저만의 식단 유지어터 노하우는 잔머리😁
⠀
얼굴 합성한 영상에 평생 받을 칭찬 다 받은 거 같아서
하루종일 헤헤 했어요😭
진짜 제 모습은 아니지만 기분은 진짜 좋아욥!
예쁜 마음 가진 분들 칭찬도 예쁘게 해주시고 훈훈했습니다.
정말 정말 감사해요🙏
다들 복 받으세요🥳
⠀
오늘도 수고 많으셨어요!
굿밤 되세요☺️
⠀
⠀
#데일리 #점심식단 🥗
#아보카도샐러드 ➕ 슬기로운효소
#데일리룩 #가을코디 #청자켓코디","['슬기로운효소', '데일리', '점심식단', '아보카도샐러드', '데일리룩', '가을코디', '청자켓코디']"
https://www.instagram.com/p/COKmEe0FIi_/,muksunsaeng,"샐러드계의 만수르다. 아랍 왕족이 먹을법한 샐러드다. 건강은 물론 고급스러움에 황홀한 맛과 포만감까지 갖춘 이곳은 📍성수 칙피스📍이다.
-
매일 먹을 수 있다. 먹선생에게 건강도 건강이지만 맛이 중요하다. 그래서 이지경까지 왔을지도 모르지만 집앞에 칙피스가 있다면 15키로그램 감량? 코웃음치며 달성해낼 것만 같다(팩트: 집앞에 있어도 다른음식 먹으러 감)
-
괜히 만수르가 아니다. 스테이크샐러드에 팔라펠을 추가하니 2만원 좀 안됐다. 하지만 괜찮다. ‘이 정도 가격이면 다른걸 먹지...’라는 생각이 들법한데 너무 만족스러워서일까, 오히려 언제 또 재방문하지 계획을 세우고 있었다.
-
한가지 아쉬운점은 종이그릇에 담아준다는 점이다. 본점인 신사점은 동그란접시에 담아져서 더 이쁘던데, 여러분께 이쁜거만 보여주고싶은데 너무 아쉬웠다.
-
제 점수는요 10점 만점에 9점입니다.
@_gu.pin 잘먹었습니다 !
-
#칙피스 #샐러드 #샐러드맛집 #샐러드도시락 #샐러드식단 #성수동맛집 #성수 #성수맛집 #성수동 #성수동핫플레이스 #서울숲 #서울숲맛집 #뚝섬 #뚝섬맛집 #다이어트식단 #다이어트","['칙피스', '샐러드', '샐러드맛집', '샐러드도시락', '샐러드식단', '성수동맛집', '성수', '성수맛집', '성수동', '성수동핫플레이스', '서울숲', '서울숲맛집', '뚝섬', '뚝섬맛집', '다이어트식단', '다이어트']"
https://www.instagram.com/p/CUzXHgcJfgs/,uzuemperor,#vegan #264🔶🪢🔶🪢🔶🧬®,"['vegan', '264']"
https://www.instagram.com/p/CCyMPLgh3yZ/,polaathome,".
신사동의 #칙피스 🥬가 이제 성수동에도!.
.
#성수동 에 이 정도의 괜찮은 #샐러드가게 가 생기기를 약3년전부터 바라왔었다. 직접차리고도 싶었지만 역부족이구..😂🥒🍅🥑🥕.
#다이어트 하는 사람들에게도 희소식일듯. 단순한 #샐러드 가 아니라, #부채살 #연어 같은 양질의 메인재료는 물론 #후무스 와 #팔라펠 처럼 고단백사이드도 푸짐하게 올려져있어 한끼식사로도 충분히 든든한 괜찮은 #샐러드집 👍🏻.
나는 제레님 추천대로 #부채살 에 #팔라펠 추가!! 🥗🤟🏻.
요기서 #샐러드 먹구 바로 옆에 #BNHR 가서 맛있는 #커피 한잔 마시는 코스도 괜찮을듯해요😍.
.
다만 퀄리티높은 이 귀한 샐러드를 굉장히 편안치 못한 분위기에서 먹었던 이유는 날파리 벌레가 너무많아😰 계속해서 내쫓으면서 먹을수밖에😭.
1층 매장주변에 나무도 많고 여름인데 큰 창을 모두 열어놓은게 좋은부분도 있지만 꼬여드는 날파리가 샐러드 속으로 너무많이 들어가서 그냥 나중엔 파리도 몇마리 먹는다 생각하며 먹는게 차라리 맘편했을 정도에요ㅋㅋ🤣😭.
다음엔 창문닫혀있을때 한번 더가서 편안하게 즐기고싶다요💚
.
.
.
.
#성수동맛집#성수역맛집#성수동샐러드#성수동샐러드맛집#칙피스#칙피스성수점#먹스타그램#주말#성수동핫플#다이어터#다이어터맛집#샐러드맛집",['BNHR']
https://www.instagram.com/p/CTHshZzJKhU/,uzuemperor,,[]
