id,name,type,url,vegan,meat,seafood,raw,spice,(해당: 1),,,,,,,,,,
307,브릭오븐,4,https://www.instagram.com/explore/locations/21850317/brick-oven-new-york-pizza/,1,1,0,0,0,,>> 주미,,,,,,,,,
308,떡도리탕,1,https://www.instagram.com/explore/locations/321251831303581/,0,1,0,0,0,,,,,,,,,,,
309,무월식탁,1,https://www.instagram.com/explore/locations/165222200776093/,0,1,1,1,0,,,,,,,,,,,
310,도마3,1,https://www.instagram.com/explore/locations/101057528014018/,0,1,0,0,0,,,,,,,,,,,
311,김수사,3,https://www.instagram.com/explore/locations/175970649/,0,0,1,1,0,,,,,,,,,,,
312,감탄성신,3,https://www.instagram.com/explore/locations/112333190955116/,0,1,1,1,0,,,,,,,,,,,
313,카츠8 강남점,3,https://www.instagram.com/explore/locations/106184981435912/8/,0,1,1,0,0,,,,,,,,,,,
314,남소관 우육도삭면,2,https://www.instagram.com/explore/locations/100140232444234/,0,1,1,0,1,,,,,,,,,,,
315,무탄,2,https://www.instagram.com/explore/locations/109899920752293/,0,1,1,0,0,,-> 크롤링할 때 희한하게 안됨! 다른 가게 추가할게요,,,,,,,,,
316,나이쏘이 강남점,5,https://www.instagram.com/explore/locations/183129282495483/,0,1,1,0,0,,,,,,,,,,,
317,저스트 스테이크,4,https://www.instagram.com/explore/locations/585843313/,0,1,0,0,0,,,,,,,,,,,
318,너무한육회연어,1,https://www.instagram.com/explore/locations/104077618345605/,0,1,1,1,0,,,,,,,,,,,
319,경양카츠 강남점,3,https://www.instagram.com/explore/locations/101607848209089/,0,1,0,0,0,,,,,,,,,,,
320,다몽집,1,https://www.instagram.com/explore/locations/106516774910452/,0,1,0,1,0,,,,,,,,,,,
321,연스시,5,https://www.instagram.com/explore/locations/184209278/,0,0,1,1,0,,,,,,,,,,,
322,딘타이펑 강남점,2,https://www.instagram.com/explore/locations/230162951/,0,1,1,0,0,,,,,,,,,,,
323,쉑쉑버거,4,https://www.instagram.com/explore/locations/1139829216075790/,0,1,0,0,0,,,,,,,,,,,
324,후추포인트,4,https://www.instagram.com/explore/locations/102414888786794/,0,1,1,1,0,,,,,,,,,,,
325,온달집,1,https://www.instagram.com/explore/locations/344532925896847/,0,1,0,0,0,,"-> 중간중간 속눈썹이랑 헤어라인정리 있어,,,왜....",,,,,,,,,
326,우와,3,https://www.instagram.com/explore/locations/1870358359942765/,0,1,1,0,0,,>> 다은,: 지금 33개 이하인 가게들도 있어서 추가적으로 강남지역 가게 알아볼게용 :: 3/31 update 완료,,,,,,,,
327,호보식당,1,https://www.instagram.com/explore/locations/110240017980927/,0,1,0,0,0,,->  11개 (아래로는 삭제 가게),,,,,,,,,
328,호미호식,3,https://www.instagram.com/explore/locations/101333519015103/,0,1,0,0,0,,-> 27개,,,,,,,,,
329,탄탄면공방 강남점,2,https://www.instagram.com/explore/locations/109319107900182/,0,1,1,0,1,,-> 24개,,,,,,,,,
330,리애,5,https://www.instagram.com/explore/locations/103411111564912/,0,1,0,0,0,,->11개,,,,,,,,,
