,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330
0,735,214,461,17,481,23,173,919,108,109,275.0,213,197,863,152,827,0,596.0,16,658,34,574,555,58,684,691.0,819,396,715,18,266,153,390,146,247,396,1698,189,290,278,0.0,495,189,74.0,471,688,81,1267,0.0,503,467,340,577,33,216.0,127,1329,149,44,396,624.0,1262,361,10,762,343,691,631,23,238,181,215,510,802.0,2068.0,464.0,554.0
1,441,282,91,824,85,9,64,922,104,140,334.0,49,215,668,55,18,611,472.0,68,18,60,632,282,28,159,24.0,361,403,289,0,274,89,931,210,11,1035,362,100,51,284,,515,437,141.0,105,259,54,398,,682,187,196,330,0,272.0,46,855,234,99,613,441.0,139,227,1,373,519,489,394,17,13,568,6,291,76.0,702.0,636.0,579.0
2,461,643,385,131,464,19,172,457,64,137,272.0,31,82,349,573,8,320,403.0,268,27,10,29,505,54,808,160.0,17,312,241,1,71,148,282,147,1095,1289,1077,369,53,349,,716,91,270.0,696,125,0,491,,298,263,401,637,0,20.0,59,191,201,35,712,521.0,922,379,25,525,455,946,1,8,33,62,0,298,95.0,397.0,326.0,52.0
3,137,524,401,402,99,23,35,457,6,77,91.0,120,388,539,642,13,156,91.0,108,17,63,403,165,9,528,116.0,97,29,27,105,480,6,633,20,698,888,31,102,302,44,,617,310,17.0,17,528,89,599,,217,333,28,415,0,160.0,1034,6,225,256,453,87.0,1359,177,65,238,6,574,21,6,57,328,1391,275,421.0,126.0,641.0,0.0
4,97,313,313,2,18,13,43,444,67,347,840.0,311,225,653,113,11,10,381.0,1,40,427,352,762,9,844,28.0,956,407,241,843,144,12,475,89,23,4,166,857,176,441,,593,157,374.0,46,68,130,38,,429,303,86,102,9,623.0,118,439,309,980,685,31.0,630,305,23,1045,25,331,32,22,172,237,8,53,465.0,1142.0,285.0,200.0
5,17,202,98,47,468,300,37,209,69,150,222.0,81,70,351,356,332,50,267.0,4,22,21,568,304,23,140,16.0,335,36,356,6,182,90,1,20,275,849,417,586,134,119,,1426,267,33.0,1459,263,387,436,,855,1755,28,76,3,302.0,64,234,701,389,298,38.0,56,104,103,939,565,1489,277,113,21,327,0,235,6.0,865.0,212.0,34.0
6,406,648,32,137,23,239,42,446,427,23,135.0,70,370,298,465,54,12,0.0,1071,49,473,1468,35,146,113,526.0,16,18,370,48,209,152,356,20,472,261,2098,22,258,290,,347,336,260.0,32,20,178,335,,642,14,164,152,18,1050.0,316,153,858,12,601,215.0,850,201,66,706,571,457,339,1517,26,427,601,682,489.0,420.0,132.0,54.0
7,506,545,673,25,92,124,73,388,158,27,147.0,24,87,122,321,76,26,652.0,84,1144,13,196,434,7,107,34.0,298,15,294,108,1094,26,206,96,1,10,919,189,15,17,,808,651,200.0,112,6,6,512,,516,723,110,108,0,0.0,574,166,348,7,929,26.0,382,673,521,309,421,982,23,66,13,258,42,44,47.0,77.0,154.0,68.0
8,127,363,163,320,12,20,70,508,88,292,83.0,17,67,3,998,13,335,158.0,23,433,34,78,43,7,98,15.0,183,28,294,114,5,11,524,0,961,29,375,382,357,148,,671,192,18.0,103,17,22,469,,660,664,77,566,0,798.0,201,1376,1012,208,741,174.0,19,455,195,1200,205,641,171,66,38,22,872,439,57.0,29.0,53.0,19.0
